  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2009 001    2.03    2.17    1.87    1.04    3.02    0.20
2009 002    2.04    2.10    1.87    1.04    3.02    0.20
2009 003    2.01    2.06    1.71    0.83    2.92    0.20
2009 004    2.02    2.07    1.56    0.83    2.72    0.20
2009 005    1.95    1.95    1.50    0.79    2.67    0.20
2009 006    2.00    1.89    1.42    0.76    2.34    0.20
2009 007    2.01    1.89    1.43    0.78    2.35    0.20
2009 008    1.47    1.36    1.27    0.65    2.14    0.20
2009 009    1.44    1.34    1.24    0.59    1.98    0.20
2009 010    1.37    1.35    1.22    0.59    1.96    0.20
2009 011    1.35    1.35    1.20    0.49    1.98    0.20
2009 012    1.34    1.33    1.20    0.49    1.97    0.20
2009 013    1.47    1.53    1.05    0.20    1.89    0.20
2009 014    1.46    1.53    1.04    0.20    1.85    0.20
2009 015    0.97    1.35    0.72    0.20    1.38    0.20
2009 016    0.93    1.04    0.72    0.20    1.39    0.20
2009 017    0.93    1.03    0.71    0.20    1.38    0.20
2009 018    0.90    1.03    0.71    0.20    1.39    0.20
2009 019    1.04    0.97    0.72    0.20    1.42    0.20
2009 020    1.00    0.99    0.71    0.20    1.37    0.20
2009 021    0.99    1.06    0.70    0.20    1.22    0.20
2009 022    0.76    1.06    0.74    0.20    1.25    0.20
2009 023    0.76    1.05    0.73    0.20    1.25    0.20
2009 024    0.74    1.02    0.72    0.20    1.27    0.20
2009 025    0.73    1.00    0.62    0.20    1.26    0.20
2009 026    0.73    0.98    0.62    0.20    1.23    0.20
2009 027    0.47    0.70    0.49    0.20    1.43    0.20
2009 028    0.31    0.71    0.49    0.20    1.42    0.20
2009 029    0.32    0.61    0.45    0.20    0.96    0.20
2009 030    0.33    0.61    0.45    0.20    0.96    0.20
2009 031    0.33    0.61    0.45    0.20    0.97    0.20
2009 032    0.33    0.60    0.46    0.20    1.00    0.20
2009 033    0.32    0.58    0.45    0.20    0.95    0.20
2009 034    0.33    0.70    0.47    0.20    1.47    0.20
2009 035    0.33    0.70    0.47    0.20    1.46    0.20
2009 036    0.27    0.58    0.36    0.20    0.71    0.20
2009 037    0.27    0.57    0.36    0.20    0.71    0.20
2009 038    0.27    0.65    0.35    0.20    0.74    0.20
2009 039    0.29    0.65    0.35    0.20    0.71    0.20
2009 040    0.36    1.08    0.42    0.20    1.04    0.20
2009 041    0.36    1.15    0.42    0.20    1.06    0.20
2009 042    0.35    1.15    0.42    0.20    1.11    0.20
2009 043    0.29    1.11    0.35    0.20    1.02    0.20
2009 044    0.28    1.06    0.36    0.20    1.03    0.20
2009 045    0.28    1.01    0.35    0.20    1.00    0.20
2009 046    0.28    0.96    0.34    0.20    0.95    0.20
2009 047    0.25    0.83    0.30    0.20    0.89    0.24
2009 048    0.25    0.82    0.30    0.20    0.87    0.24
2009 049    0.25    0.81    0.31    0.20    0.88    0.24
2009 050    0.25    0.83    0.36    0.20    0.90    0.20
2009 051    0.25    0.82    0.36    0.20    0.91    0.20
