  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2018 107    1.03    2.44    1.46    3.58    3.09    4.39
2018 108    1.04    2.45    1.46    3.61    3.09    4.38
2018 109    1.08    2.51    1.48    3.58    3.10    4.55
2018 110    1.11    2.54    1.57    3.61    3.09    4.77
2018 111    1.20    2.58    1.62    3.78    3.14    4.91
2018 112    1.21    2.66    1.78    4.06    3.23    5.08
2018 113    1.29    2.79    1.95    4.42    3.37    5.49
2018 114    1.24    2.93    2.03    5.09    3.64    6.06
2018 115    1.24    2.99    2.09    6.16    4.29    6.64
2018 116    1.34    3.04    2.15    5.95    4.27    6.86
2018 117    1.40    3.20    2.25    5.53    3.97    6.94
2018 118    1.52    3.35    2.39    5.40    3.93    7.06
2018 119    1.61    3.47    2.46    5.42    3.94    7.24
2018 120    1.76    3.66    2.61    5.66    4.02    7.60
2018 121    1.85    3.92    2.91    6.06    4.24    7.86
2018 122    1.88    4.04    3.02    6.33    4.61    8.12
2018 123    1.91    4.11    3.07    6.59    4.83    8.44
2018 124    1.96    4.29    3.22    7.04    4.81    9.19
2018 125    2.05    4.49    3.34    7.56    4.84   10.04
2018 126    2.12    4.58    3.38    8.21    4.99   10.73
2018 127    2.32    4.76    3.50    8.76    5.14   11.34
2018 128    2.39    4.96    3.69    9.45    5.38   11.91
2018 129    2.27    5.12    3.76    9.69    5.74   12.14
2018 130    2.17    5.19    3.74    9.48    5.78   12.51
2018 131    2.16    5.26    3.88    9.38    5.71   12.65
2018 132    2.26    5.43    4.13    9.47    5.84   12.68
2018 133    2.48    5.67    4.34    9.54    6.08   12.63
2018 134    2.76    5.94    4.54    9.79    6.32   13.02
2018 135    2.75    6.23    4.71   10.40    6.61   13.51
2018 136    2.82    6.50    4.89   11.13    7.11   13.83
2018 137    2.81    6.66    5.00   11.62    7.67   14.43
2018 138    2.77    6.73    5.04   11.78    7.60   14.91
2018 139    2.90    6.98    5.20   12.29    7.53   15.40
2018 140    3.04    7.34    5.34   12.47    7.57   15.31
2018 141    3.25    7.80    5.62   12.72    7.65   15.39
2018 142    3.56    8.26    6.13   13.39    8.08   15.95
2018 143    3.88    8.62    6.59   13.77    8.42   16.41
2018 144    4.16    9.14    7.13   14.29    8.82   17.07
2018 145    4.56   10.05    7.75   15.18    9.33   17.56
2018 146    5.06   10.96    8.53   16.32   10.11   18.32
2018 147    5.37   11.37    9.23   17.67   11.11   18.88
2018 148    5.50   11.50    9.61   18.52   11.84   19.63
2018 149    5.47   11.36    9.58   18.67   12.29   19.94
2018 150    5.27   11.01    9.34   18.28   12.39   19.41
2018 151    4.81   10.76    9.12   17.80   12.58   18.84
2018 152    4.31   10.20    8.70   17.41   12.78   18.23
2018 153    3.98    9.64    8.25   16.94   12.55   17.72
2018 154    3.95    9.25    8.08   16.65   12.23   17.45
2018 155    4.01    9.14    7.94   16.37   11.84   17.21
2018 156    4.03    9.18    7.94   16.20   11.76   17.14
2018 157    4.07    9.24    8.11   16.22   11.95   17.19
2018 158    4.17    9.54    8.56   16.43   12.50   17.49
2018 159    4.36    9.99    8.99   16.81   13.17   17.72
2018 160    4.81   10.56    9.39   17.00   13.41   17.72
2018 161    5.24   11.14    9.76   16.97   13.47   17.44
2018 162    5.35   11.61   10.07   16.95   13.63   17.27
2018 163    5.42   12.16   10.19   17.09   13.86   17.56
2018 164    5.49   12.51   10.15   17.51   13.77   17.98
2018 165    5.58   12.84   10.05   17.78   13.52   18.31
2018 166    5.76   13.26   10.22   18.08   13.60   18.61
2018 167    6.06   13.84   10.69   18.67   14.23   19.27
2018 168    6.32   14.49   11.31   19.41   15.06   19.95
2018 169    6.52   14.74   11.86   19.79   15.52   20.24
2018 170    6.58   14.64   12.30   19.76   15.60   19.99
2018 171    6.59   14.76   12.62   19.63   15.80   19.81
2018 172    6.48   14.87   12.63   19.60   15.95   19.87
2018 173    6.49   15.00   12.74   19.86   16.07   20.04
2018 174    6.51   15.10   13.01   19.92   16.31   20.11
2018 175    6.45   15.29   13.19   19.88   16.55   19.86
2018 176    6.41   15.54   13.33   20.02   16.69   19.70
2018 177    6.67   16.21   13.82   20.56   17.00   20.48
2018 178    7.14   17.18   14.70   21.60   17.87   21.72
2018 179    7.50   17.96   15.57   22.34   19.01   22.52
2018 180    7.97   18.41   16.13   22.75   19.72   22.93
2018 181    8.32   18.64   16.90   23.36   20.90   23.38
2018 182    8.33   18.53   17.48   23.91   21.89   23.78
2018 183    8.27   18.41   17.63   24.13   22.39   24.09
2018 184    8.46   19.04   18.00   24.37   22.52   24.27
2018 185    8.65   19.85   18.62   24.94   22.78   24.50
2018 186    8.47   19.79   18.47   24.81   22.88   24.39
2018 187    8.42   19.44   17.50   23.88   22.14   23.75
2018 188    8.90   19.35   17.09   23.40   21.59   23.37
2018 189    9.46   19.44   17.20   23.40   21.67   23.42
2018 190    9.69   19.69   17.45   23.51   21.79   23.65
2018 191    9.73   19.99   17.61   23.55   21.82   23.64
2018 192    9.88   20.25   17.88   23.54   21.83   23.51
2018 193   10.14   20.55   18.13   23.65   21.88   23.52
2018 194   10.57   20.97   18.47   24.07   22.16   23.82
2018 195   10.91   21.43   19.00   24.45   22.57   24.07
2018 196   10.62   21.66   19.40   24.88   22.96   24.43
2018 197   10.10   21.73   19.35   24.95   23.10   24.36
2018 198    9.92   21.49   19.13   24.69   22.95   24.06
2018 199   10.19   21.30   19.09   24.47   22.70   23.91
2018 200   10.59   21.33   19.14   24.34   22.60   23.84
2018 201   11.01   21.33   19.20   24.31   22.63   23.82
2018 202   11.52   21.25   19.35   24.30   22.65   23.75
2018 203   12.05   21.11   19.56   24.28   22.62   23.57
2018 204   12.62   21.04   19.77   24.21   22.53   23.33
2018 205   12.84   21.10   19.96   24.19   22.40   23.28
2018 206   12.70   21.17   20.05   24.25   22.23   23.36
2018 207   12.57   21.10   20.06   24.16   22.07   23.21
2018 208   12.51   21.02   19.98   23.94   21.99   22.85
2018 209   12.54   21.03   19.91   23.81   21.91   22.64
2018 210   13.05   21.23   20.01   23.84   21.92   22.80
2018 211   13.67   21.55   20.28   23.96   22.06   22.98
2018 212   13.98   21.73   20.47   24.11   22.38   23.10
2018 213   13.80   21.88   20.63   24.29   22.83   23.30
2018 214   13.38   22.00   20.79   24.44   23.27   23.43
2018 215   13.27   22.16   20.99   24.50   23.52   23.67
2018 216   13.55   22.31   21.24   24.64   23.73   24.10
2018 217   13.95   22.42   21.48   24.87   24.03   24.42
2018 218   14.15   22.48   21.48   25.01   24.20   24.50
2018 219   14.35   22.55   21.46   24.95   24.14   24.58
2018 220   14.93   22.71   21.66   24.78   24.06   24.64
2018 221   15.64   22.89   21.83   24.72   24.07   24.70
2018 222   16.04   23.11   22.02   24.88   24.08   24.82
2018 223   16.41   23.28   22.18   25.07   24.18   24.91
2018 224   16.82   23.43   22.33   25.12   24.28   25.07
2018 225   16.98   23.57   22.52   25.07   24.29   25.21
2018 226   16.78   23.63   22.64   25.05   24.17   25.30
2018 227   16.54   23.63   22.68   24.98   24.11   25.30
2018 228   16.55   23.66   22.69   24.81   24.12   25.09
2018 229   16.61   23.60   22.57   24.57   23.95   24.78
2018 230   16.61   23.52   22.39   24.39   23.63   24.55
2018 231   16.61   23.50   22.41   24.23   23.49   24.39
