  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2016 001    3.94    5.18    5.35    5.37    5.94    3.80
2016 002    3.92    5.15    5.18    5.24    5.77    3.51
2016 003    3.88    5.10    5.03    5.11    5.64    3.34
2016 004    3.84    4.97    4.84    4.87    5.49    3.14
2016 005    3.83    4.85    4.56    4.70    5.45    2.19
2016 006    3.82    4.80    4.47    4.63    5.44    2.04
2016 007    3.76    4.80    4.38    4.62    5.38    1.69
2016 008    3.75    4.81    4.41    4.63    5.37    2.38
2016 009    3.73    4.78    4.36    4.62    5.35    2.81
2016 010    3.69    4.71    4.34    4.57    5.29    2.86
2016 011    3.56    4.43    4.14    4.46    5.19    2.44
2016 012    3.54    4.33    4.03    4.21    5.05    1.82
2016 013    3.43    4.07    3.80    3.93    4.96    0.85
2016 014    3.37    3.97    3.74    3.66    4.82    0.60
2016 015    3.24    3.98    3.61    3.46    4.68    0.26
2016 016    3.03    3.78    3.19    3.11    4.46    0.72
2016 017    2.82    3.49    2.96    2.81    4.29    0.21
2016 018    2.79    3.36    2.83    2.38    4.07    0.21
2016 019    2.66    3.29    2.79    1.97    3.97    0.22
2016 020    2.50    3.09    2.63    1.80    3.97    0.21
2016 021    2.52    3.03    2.58    1.60    3.87    0.21
2016 022    2.52    2.99    2.49    1.47    3.82    0.21
2016 023    2.51    2.95    2.43    1.45    3.86    0.21
2016 024    2.52    2.93    2.43    1.38    3.85    0.21
2016 025    2.55    3.06    2.55    1.47    3.85    0.24
2016 026    2.54    3.02    2.60    1.41    3.85    0.21
2016 027    2.51    2.99    2.58    1.40    3.84    0.21
2016 028    2.48    3.00    2.53    1.45    3.83    0.21
2016 029    2.48    2.99    2.50    1.35    3.81    0.21
2016 030    2.48    2.99    2.53    1.28    3.83    0.21
2016 031    2.53    2.99    2.55    1.47    3.90    0.49
2016 032    2.55    3.02    2.61    1.70    3.95    1.24
2016 033    2.52    2.96    2.60    1.75    3.94    1.31
2016 034    2.47    2.91    2.58    1.91    3.97    1.87
2016 035    2.41    2.81    2.55    1.91    3.92    1.71
2016 036    2.31    2.79    2.51    1.79    3.81    1.59
2016 037    2.30    2.81    2.50    1.75    3.75    1.50
2016 038    2.29    2.84    2.46    1.74    3.73    1.63
2016 039    2.19    2.80    2.46    1.74    3.71    1.66
2016 040    2.06    2.71    2.39    1.72    3.63    1.65
2016 041    1.95    2.66    2.26    1.65    3.53    1.61
2016 042    1.82    2.55    2.08    1.53    3.38    1.12
2016 043    1.69    2.48    1.93    1.46    3.24    1.15
2016 044    1.59    2.33    1.59    0.85    2.90    0.21
2016 045    1.47    2.23    1.31    0.44    2.52    0.21
2016 046    1.42    2.35    1.45    0.30    2.32    0.21
2016 047    1.40    2.35    1.50    0.42    2.65    0.21
2016 048    1.49    2.36    1.52    0.44    2.67    0.21
2016 049    1.46    2.40    1.48    0.38    2.60    0.21
2016 050    1.42    2.66    1.46    0.54    2.60    0.42
2016 051    1.44    2.65    1.46    0.66    2.91    0.21
