  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
1999 001    2.49    4.18    3.87    3.48    4.95    0.20
1999 002    2.35    3.93    3.60    2.87    4.36    0.20
1999 003    2.22    3.73    3.38    2.56    4.09    0.20
1999 004    2.10    3.55    3.18    2.33    3.92    0.20
1999 005    2.00    3.39    3.02    2.15    3.82    0.20
1999 006    1.81    3.02    2.42    1.77    3.69    0.20
1999 007    1.66    3.06    2.32    1.54    3.73    0.20
1999 008    1.53    3.03    2.23    1.40    3.74    0.20
1999 009    1.42    2.96    2.14    0.20    3.55    0.20
1999 010    1.34    2.90    2.08    0.20    3.49    0.20
1999 011    1.27    2.85    2.04    0.20    3.43    0.20
1999 012    1.20    2.81    2.03    0.20    3.25    0.20
1999 013    1.06    2.54    1.89    0.20    2.93    0.20
1999 014    0.96    2.36    1.81    0.20    2.85    0.20
1999 015    1.01    2.25    1.77    0.34    2.87    0.20
1999 016    1.04    2.26    1.48    0.20    2.78    0.20
1999 017    1.05    2.31    1.46    0.20    2.53    0.20
1999 018    1.07    2.25    1.44    0.20    2.49    0.20
1999 019    1.12    2.21    1.40    0.20    2.45    0.20
1999 020    1.17    2.25    1.35    0.20    2.38    0.20
1999 021    1.20    2.26    1.31    0.20    2.43    0.20
1999 022    1.23    2.24    1.46    0.20    2.53    0.20
1999 023    1.38    2.19    1.46    0.20    2.51    0.20
1999 024    1.42    2.17    1.48    0.20    2.47    0.20
1999 025    1.43    2.12    1.47    0.20    2.44    0.20
1999 026    1.45    2.14    1.48    0.20    2.45    0.20
1999 027    1.47    2.14    1.44    0.20    2.41    0.20
1999 028    1.59    2.16    1.44    0.20    2.35    0.20
1999 029    1.64    2.26    1.44    0.20    2.34    0.20
1999 030    1.71    2.51    1.44    0.20    2.23    0.20
1999 031    1.75    2.49    1.46    0.20    2.15    0.20
1999 032    1.62    2.42    1.56    0.20    2.34    0.20
1999 033    1.47    2.41    1.60    0.35    2.40    0.20
1999 034    1.39    2.46    1.59    0.36    2.42    0.20
1999 035    1.39    2.42    1.51    0.37    2.33    0.20
1999 036    1.44    2.59    1.52    0.38    2.25    0.20
1999 037    1.48    2.67    1.49    0.39    2.13    0.20
1999 038    1.52    2.75    1.48    0.42    2.05    0.20
1999 039    1.56    2.87    1.46    0.45    1.98    0.20
1999 040    1.60    3.06    1.45    0.47    2.02    0.20
1999 041    1.59    3.46    1.50    0.57    2.19    0.20
1999 042    1.53    3.78    1.60    0.60    2.27    0.20
1999 043    1.37    3.35    1.43    0.61    2.25    0.20
1999 044    1.27    2.95    1.35    0.47    2.18    0.20
1999 045    1.26    2.73    1.42    0.47    2.09    0.20
1999 046    1.24    2.57    1.49    0.47    1.97    0.20
1999 047    1.22    2.43    1.44    0.48    2.04    0.20
1999 048    1.20    2.35    1.39    0.48    2.09    0.20
1999 049    1.18    2.24    1.33    0.48    2.13    0.20
1999 050    1.11    2.12    1.29    0.48    2.20    0.43
1999 051    0.96    2.03    1.16    0.20    2.15    0.20
