  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2014 001    1.60    3.15    2.17    1.81    3.39    0.21
2014 002    1.41    2.91    2.07    1.38    3.24    0.21
2014 003    1.27    2.69    1.90    0.76    2.94    0.21
2014 004    1.37    2.88    1.78    0.64    3.05    0.21
2014 005    1.36    2.82    1.93    0.93    2.73    0.21
2014 006    1.29    2.63    1.87    0.85    3.13    0.21
2014 007    1.17    2.45    1.62    0.47    2.77    0.21
2014 008    1.10    1.99    1.41    0.32    2.52    0.21
2014 009    1.05    1.89    1.37    0.24    2.64    0.21
2014 010    0.96    1.86    1.32    0.24    2.51    0.21
2014 011    0.94    1.94    1.28    0.23    2.50    0.21
2014 012    0.96    1.96    1.49    0.24    2.96    0.21
2014 013    1.14    2.06    1.57    0.35    3.02    0.21
2014 014    1.18    2.12    1.70    0.37    2.94    0.21
2014 015    1.10    2.05    1.74    0.37    2.77    0.21
2014 016    1.06    2.09    1.74    0.36    2.70    0.21
2014 017    1.06    2.07    1.71    0.31    2.68    0.21
2014 018    1.00    1.91    1.66    0.30    2.67    0.21
2014 019    0.98    1.86    1.54    0.20    2.58    0.21
2014 020    0.94    1.81    1.43    0.20    2.55    0.21
2014 021    0.83    1.73    0.93    0.20    2.22    0.21
2014 022    0.69    1.63    0.73    0.20    1.97    0.21
2014 023    0.56    1.49    0.55    0.20    1.63    0.21
2014 024    0.51    1.28    0.53    0.20    1.56    0.21
2014 025    0.63    1.37    0.70    0.20    1.71    0.21
2014 026    0.67    1.40    0.86    0.20    1.76    0.21
2014 027    0.63    1.35    0.92    0.20    1.80    0.21
2014 028    0.46    1.03    0.75    0.20    1.63    0.21
2014 029    0.38    0.85    0.69    0.20    1.57    0.21
2014 030    0.36    0.85    0.58    0.20    1.60    0.21
2014 031    0.39    0.91    0.66    0.20    1.69    0.21
2014 032    0.31    0.85    0.76    0.20    1.68    0.21
2014 033    0.20    0.78    0.74    0.20    1.82    0.21
2014 034    0.25    0.73    0.62    0.20    1.61    0.21
2014 035    0.20    0.68    0.35    0.20    1.49    0.21
2014 036    0.20    0.66    0.37    0.20    1.42    0.21
2014 037    0.20    0.68    0.32    0.20    1.19    0.21
2014 038    0.20    0.48    0.25    0.20    0.96    0.21
2014 039    0.20    0.50    0.25    0.20    0.90    0.21
2014 040    0.20    0.45    0.20    0.20    1.18    0.21
2014 041    0.21    0.48    0.20    0.20    0.99    0.21
2014 042    0.20    0.34    0.20    0.20    0.95    0.21
2014 043    0.20    0.30    0.20    0.20    0.84    0.21
2014 044    0.20    0.30    0.20    0.20    0.87    0.21
2014 045    0.22    0.37    0.20    0.20    0.94    0.21
2014 046    0.20    0.20    0.20    0.20    0.93    0.21
2014 047    0.20    0.20    0.20    0.20    0.90    0.21
2014 048    0.20    0.45    0.20    0.20    0.87    0.21
2014 049    0.20    0.36    0.20    0.20    1.00    0.21
2014 050    0.20    0.51    0.20    0.20    1.18    0.21
2014 051    0.20    0.52    0.20    0.20    1.24    0.21
