  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2008 001    2.75    3.47    2.44    1.99    3.25    0.20
2008 002    2.74    3.41    2.42    1.92    3.20    0.20
2008 003    2.58    3.26    1.97    1.64    3.20    0.20
2008 004    2.57    3.25    1.96    1.65    3.21    0.20
2008 005    2.57    3.24    1.93    1.68    3.24    0.20
2008 006    2.57    3.19    1.93    1.69    3.24    0.20
2008 007    2.57    3.15    1.92    1.74    3.27    0.20
2008 008    2.56    3.11    1.92    1.78    3.31    0.20
2008 009    2.57    3.09    1.92    1.81    3.35    0.20
2008 010    2.58    3.10    1.91    1.78    3.33    0.20
2008 011    2.59    3.33    2.13    2.26    3.35    0.20
2008 012    2.58    3.33    2.11    2.22    3.30    0.20
2008 013    2.58    3.32    2.09    2.18    3.28    0.20
2008 014    2.80    3.32    2.32    2.17    3.25    0.20
2008 015    2.71    3.15    2.20    2.18    3.23    0.20
2008 016    2.65    3.12    2.12    2.17    3.22    0.20
2008 017    2.58    3.06    2.07    2.14    3.20    0.20
2008 018    2.44    3.02    2.00    2.04    3.09    0.20
2008 019    2.39    2.94    1.95    1.96    3.05    0.20
2008 020    2.31    2.82    1.81    1.78    2.98    0.20
2008 021    2.02    2.33    1.47    0.72    2.74    0.20
2008 022    1.96    2.26    1.46    0.67    2.69    0.20
2008 023    1.85    2.22    1.45    0.54    2.66    0.20
2008 024    1.73    2.16    1.23    0.44    2.78    0.20
2008 025    1.70    2.15    1.22    0.41    2.79    0.20
2008 026    1.67    2.17    1.23    0.40    2.76    0.20
2008 027    1.66    2.18    1.23    0.36    2.65    0.20
2008 028    1.41    1.51    1.07    0.20    1.88    0.20
2008 029    1.38    1.48    1.07    0.20    1.84    0.20
2008 030    1.36    1.42    1.07    0.20    1.81    0.20
2008 031    1.31    1.39    1.00    0.20    1.90    0.20
2008 032    1.31    1.41    1.00    0.20    1.91    0.20
2008 033    1.31    1.42    0.99    0.20    1.90    0.20
2008 034    1.29    1.43    0.98    0.20    1.90    0.20
2008 035    1.18    1.28    0.94    0.20    2.14    0.20
2008 036    1.16    1.26    0.92    0.20    2.10    0.20
2008 037    1.15    1.25    0.91    0.20    2.08    0.20
2008 038    1.14    1.12    0.79    0.20    1.94    0.20
2008 039    1.13    1.05    0.77    0.20    1.92    0.20
2008 040    1.13    1.04    0.73    0.20    1.92    0.20
2008 041    1.12    1.03    0.70    0.20    1.92    0.20
2008 042    1.23    1.06    0.61    0.20    1.70    0.20
2008 043    1.17    1.06    0.61    0.20    1.69    0.20
2008 044    1.14    1.03    0.59    0.20    1.69    0.20
2008 045    0.95    1.02    0.62    0.20    1.70    0.20
2008 046    0.93    1.00    0.61    0.20    1.66    0.20
2008 047    0.91    0.99    0.60    0.20    1.63    0.20
2008 048    0.87    0.99    0.60    0.20    1.60    0.20
2008 049    0.83    0.87    0.50    0.20    1.07    0.20
2008 050    0.82    0.86    0.50    0.20    1.06    0.20
2008 051    0.82    0.85    0.49    0.20    1.04    0.20
