  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2015 001    2.59    3.53    3.26    3.33    4.43    2.32
2015 002    2.46    3.50    3.17    3.31    4.32    1.80
2015 003    2.36    3.49    3.05    3.26    4.28    0.92
2015 004    2.18    3.36    2.68    3.28    4.23    1.74
2015 005    2.06    3.16    2.42    3.01    4.04    0.22
2015 006    2.03    3.03    2.26    2.67    3.71    0.21
2015 007    1.92    2.85    2.08    2.35    3.43    0.21
2015 008    1.78    2.49    1.74    1.74    3.17    0.21
2015 009    1.75    2.48    1.68    1.38    3.07    0.21
2015 010    1.63    2.37    1.59    0.82    2.86    0.21
2015 011    1.55    2.23    1.50    0.62    2.58    0.21
2015 012    1.48    2.10    1.42    0.56    2.59    0.21
2015 013    1.47    2.09    1.37    0.30    2.50    0.21
2015 014    1.46    2.06    1.26    0.28    2.23    0.21
2015 015    1.45    2.05    1.27    0.28    2.23    0.21
2015 016    1.53    2.15    1.17    0.20    2.43    0.21
2015 017    1.49    2.10    1.27    0.20    2.32    0.21
2015 018    1.50    2.06    1.31    0.20    2.44    0.21
2015 019    1.47    1.96    1.19    0.26    2.37    0.21
2015 020    1.40    2.01    1.06    0.26    2.19    0.21
2015 021    1.37    1.97    0.97    0.24    2.04    0.21
2015 022    1.37    1.93    0.90    0.24    2.10    0.21
2015 023    1.37    1.99    1.00    0.22    2.12    0.21
2015 024    1.35    1.99    1.09    0.23    2.17    0.21
2015 025    1.32    1.90    0.98    0.31    2.13    0.21
2015 026    1.25    1.81    0.87    0.32    2.01    0.21
2015 027    1.16    1.83    0.77    0.20    1.91    0.21
2015 028    1.09    1.72    0.63    0.20    1.73    0.21
2015 029    1.08    1.76    0.67    0.20    1.77    0.21
2015 030    1.15    1.73    0.64    0.20    1.56    0.21
2015 031    0.63    1.09    0.37    0.20    0.67    0.21
2015 032    0.89    1.65    0.80    0.20    1.53    0.21
2015 033    0.83    1.60    0.69    0.20    1.32    0.21
2015 034    0.84    1.54    0.65    0.20    1.28    0.21
2015 035    0.82    1.50    0.64    0.20    1.55    0.21
2015 036    0.59    1.38    0.48    0.20    1.50    0.21
2015 037    0.69    1.46    0.50    0.20    1.44    0.21
2015 038    0.69    1.41    0.20    0.20    0.20    0.21
2015 039    0.67    1.40    0.20    0.20    0.20    0.21
2015 040    0.60    1.38    0.39    0.20    1.17    0.21
2015 041    0.60    1.27    0.40    0.20    1.24    0.21
2015 042    0.51    1.19    0.41    0.20    0.89    0.21
2015 043    0.55    1.18    0.37    0.20    0.77    0.21
2015 044    0.49    1.16    0.38    0.20    0.66    0.21
2015 045    0.48    1.14    0.38    0.20    0.64    0.21
2015 046    0.37    0.93    0.34    0.20    0.80    0.21
2015 047    0.32    0.89    0.27    0.20    0.60    0.21
2015 048    0.30    0.82    0.27    0.20    0.36    0.21
2015 049    0.26    0.70    0.26    0.20    0.33    0.21
2015 050    0.24    0.71    0.20    0.20    0.51    0.21
2015 051    0.20    0.59    0.20    0.20    0.55    0.21
