  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2006 001    3.14    2.62    2.64    1.91    3.97    0.20
2006 002    3.11    2.55    2.60    1.96    3.98    0.20
2006 003    3.08    2.54    2.59    2.13    4.05    0.20
2006 004    3.07    2.53    2.59    2.14    4.04    0.20
2006 005    3.12    3.53    2.92    2.16    4.02    0.20
2006 006    3.02    3.49    2.77    2.09    3.93    0.20
2006 007    3.01    3.47    2.74    2.05    3.89    0.20
2006 008    3.01    3.47    2.74    2.03    3.88    0.20
2006 009    3.02    3.45    2.77    2.05    3.94    0.20
2006 010    3.01    3.45    2.75    2.11    4.01    0.20
2006 011    3.00    3.55    2.76    2.18    4.07    0.20
2006 012    3.09    3.71    2.88    2.30    4.19    0.20
2006 013    2.90    3.63    2.57    2.24    4.05    0.20
2006 014    2.89    3.55    2.48    2.07    3.86    0.20
2006 015    2.88    3.45    2.41    1.95    3.71    0.20
2006 016    2.87    3.41    2.36    2.01    3.64    0.20
2006 017    2.79    3.21    2.17    1.92    3.56    0.20
2006 018    2.81    3.16    2.12    1.89    3.50    0.20
2006 019    2.83    3.12    2.20    1.85    3.47    0.20
2006 020    2.61    2.95    1.88    1.79    3.35    0.20
2006 021    2.58    2.89    1.83    1.72    3.25    0.20
2006 022    2.60    2.84    1.81    1.74    3.23    0.20
2006 023    2.64    2.88    1.83    1.89    3.37    0.20
2006 024    2.66    2.88    1.82    1.84    3.36    0.20
2006 025    2.66    2.85    1.79    1.74    3.29    0.20
2006 026    2.92    2.99    1.96    1.65    3.29    0.20
2006 027    2.78    3.02    1.86    1.62    3.26    0.20
2006 028    2.77    3.03    1.95    1.67    3.42    0.20
2006 029    2.71    3.02    1.97    1.70    3.46    0.20
2006 030    2.63    3.07    1.97    1.70    3.41    0.20
2006 031    2.56    3.01    1.89    1.71    3.34    0.20
2006 032    2.53    3.00    1.85    1.74    3.28    0.20
2006 033    2.71    2.98    2.01    2.00    3.37    1.63
2006 034    2.48    2.82    1.83    1.60    3.19    0.20
2006 035    2.44    2.76    1.81    1.58    3.18    0.20
2006 036    2.37    2.71    1.79    1.54    3.15    0.20
2006 037    2.35    2.68    1.81    1.54    3.11    0.20
2006 038    2.18    2.42    1.41    1.16    2.99    0.20
2006 039    2.17    2.39    1.28    1.10    2.83    0.20
2006 040    2.25    2.39    1.29    1.08    2.82    0.20
2006 041    2.02    2.11    1.13    1.01    2.17    0.20
2006 042    2.00    2.09    1.12    0.96    2.17    0.20
2006 043    1.98    2.07    1.12    0.89    2.17    0.20
2006 044    1.97    2.08    1.13    0.82    2.17    0.20
2006 045    1.86    2.07    1.10    0.80    2.19    0.20
2006 046    1.85    2.07    1.09    0.77    2.20    0.20
2006 047    1.89    2.40    1.23    0.93    2.86    0.20
2006 048    1.59    1.82    1.03    0.64    2.40    0.20
2006 049    1.53    1.80    1.01    0.63    2.35    0.20
2006 050    1.40    1.78    0.99    0.61    2.33    0.20
2006 051    1.36    1.76    0.99    0.60    2.31    0.20
