  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2007 001    3.95    4.85    4.33    5.09    5.72    4.17
2007 002    3.92    4.90    4.36    5.13    5.74    4.10
2007 003    3.90    4.94    4.36    5.13    5.79    4.00
2007 004    3.98    4.93    4.44    5.11    5.77    3.86
2007 005    3.97    4.87    4.44    5.08    5.73    3.91
2007 006    3.94    4.78    4.44    5.00    5.66    4.07
2007 007    3.90    4.73    4.44    4.94    5.57    4.15
2007 008    3.97    4.72    4.54    4.88    5.48    4.09
2007 009    3.77    4.62    4.25    4.78    5.21    3.98
2007 010    3.67    4.57    4.21    4.66    5.11    3.88
2007 011    3.57    4.53    4.16    4.55    5.03    3.79
2007 012    3.34    4.33    4.09    4.42    4.98    3.70
2007 013    3.06    4.21    3.94    4.19    4.78    3.43
2007 014    3.02    4.05    3.74    3.91    4.64    3.14
2007 015    2.99    3.96    3.59    3.67    4.41    2.79
2007 016    2.85    3.72    3.09    3.52    3.87    0.20
2007 017    2.86    3.68    3.05    3.41    3.80    0.20
2007 018    2.84    3.67    2.98    3.35    3.78    0.20
2007 019    2.06    1.88    1.75    2.40    3.06    0.20
2007 020    2.04    1.87    1.72    2.35    3.02    0.20
2007 021    2.03    1.84    1.68    2.26    2.99    0.20
2007 022    2.03    1.82    1.66    2.19    3.01    0.20
2007 023    2.01    1.78    1.60    2.07    2.98    0.20
2007 024    1.99    1.75    1.59    1.98    2.97    0.20
2007 025    2.30    2.81    2.13    1.96    3.22    0.20
2007 026    2.18    2.56    1.94    1.47    3.02    0.20
2007 027    2.15    2.51    1.89    1.40    2.98    0.20
2007 028    2.10    2.42    1.82    1.31    2.92    0.20
2007 029    1.96    2.25    1.74    1.28    2.89    0.20
2007 030    1.86    2.04    1.67    0.64    2.55    0.20
2007 031    1.83    2.00    1.57    0.63    2.53    0.20
2007 032    1.86    2.06    1.55    0.62    2.54    0.20
2007 033    1.63    1.77    1.32    0.20    2.44    0.20
2007 034    1.57    1.73    1.21    0.20    2.42    0.20
2007 035    1.52    1.69    1.16    0.20    2.37    0.20
2007 036    1.49    1.64    1.13    0.20    2.25    0.20
2007 037    1.21    1.46    0.97    0.20    2.18    0.20
2007 038    1.09    1.45    0.89    0.20    2.14    0.20
2007 039    1.07    1.47    0.91    0.20    2.11    0.20
2007 040    0.86    1.01    0.66    0.20    1.62    0.20
2007 041    0.85    0.99    0.66    0.20    1.58    0.20
2007 042    0.84    0.99    0.65    0.20    1.54    0.20
2007 043    0.82    0.98    0.62    0.20    1.37    0.20
2007 044    0.60    0.82    0.34    0.20    1.28    0.20
2007 045    0.58    0.80    0.33    0.20    1.24    0.20
2007 046    0.57    0.88    0.39    0.20    1.40    0.20
2007 047    0.56    0.84    0.30    0.20    1.05    0.20
2007 048    0.56    0.85    0.30    0.20    1.06    0.20
2007 049    0.55    0.86    0.30    0.20    1.05    0.20
2007 050    0.55    0.86    0.30    0.20    1.05    0.20
2007 051    0.65    1.10    0.42    0.20    1.09    0.20
