  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
1997 001    1.17    2.91    2.45    2.72    4.40    0.20
1997 002    1.12    2.85    2.33    2.66    4.32    0.20
1997 003    1.07    2.81    2.23    2.61    4.24    0.20
1997 004    1.03    2.74    2.06    2.58    4.16    0.20
1997 005    1.01    2.64    1.96    2.55    4.08    0.20
1997 006    0.99    2.59    1.87    2.52    3.90    0.20
1997 007    1.05    2.57    1.77    2.49    3.53    0.20
1997 008    1.07    2.50    1.69    2.49    3.42    0.20
1997 009    1.10    2.46    1.64    2.47    3.39    0.20
1997 010    1.12    2.42    1.60    2.46    3.37    0.20
1997 011    1.10    2.12    1.51    1.82    3.16    0.20
1997 012    1.07    1.97    1.44    1.48    3.06    0.20
1997 013    1.18    1.82    1.39    1.29    2.97    0.20
1997 014    1.23    1.77    1.35    1.17    2.77    0.20
1997 015    1.15    1.69    1.26    0.20    2.60    0.20
1997 016    1.11    1.68    1.21    0.20    2.48    0.20
1997 017    1.08    1.81    1.16    0.20    2.36    0.20
1997 018    0.99    1.64    0.90    0.20    2.11    0.20
1997 019    1.10    1.58    0.84    0.20    2.12    0.20
1997 020    1.10    1.52    0.81    0.20    2.13    0.20
1997 021    1.11    1.48    0.81    0.20    2.14    0.20
1997 022    1.07    1.27    0.74    0.20    1.91    0.20
1997 023    1.03    1.22    0.71    0.20    1.84    0.20
1997 024    0.99    1.25    0.70    0.20    1.80    0.20
1997 025    0.90    1.24    0.59    0.20    1.68    0.20
1997 026    0.82    1.21    0.54    0.20    1.54    0.20
1997 027    0.78    1.21    0.53    0.20    1.49    0.20
1997 028    0.75    1.20    0.52    0.20    1.49    0.20
1997 029    0.68    1.05    0.49    0.20    1.49    0.20
1997 030    0.65    0.97    0.48    0.20    1.49    0.20
1997 031    0.63    0.93    0.47    0.20    1.54    0.20
1997 032    0.56    0.89    0.43    0.20    1.52    0.20
1997 033    0.54    0.87    0.40    0.20    1.50    0.20
1997 034    0.53    0.87    0.40    0.20    1.46    0.20
1997 035    0.52    0.86    0.40    0.20    1.49    0.20
1997 036    0.52    0.82    0.37    0.20    1.52    0.20
1997 037    0.45    0.81    0.40    0.20    1.56    0.20
1997 038    0.46    0.83    0.51    0.18    1.59    0.20
1997 039    0.46    0.78    0.47    0.20    1.63    0.20
1997 040    0.46    0.77    0.47    0.20    1.66    0.20
1997 041    0.46    0.76    0.46    0.20    1.65    0.20
1997 042    0.46    0.80    0.47    0.20    1.64    0.20
1997 043    0.43    0.81    0.41    0.20    1.50    0.20
1997 044    0.42    0.81    0.40    0.20    1.39    0.20
1997 045    0.41    0.84    0.39    0.20    1.33    0.20
1997 046    0.38    0.82    0.36    0.20    1.20    0.20
1997 047    0.36    0.77    0.35    0.20    1.15    0.20
1997 048    0.36    0.73    0.35    0.20    1.12    0.20
1997 049    0.36    0.73    0.35    0.20    1.11    0.20
1997 050    0.20    0.75    0.34    0.20    1.13    0.20
1997 051    0.20    0.78    0.34    0.20    1.14    0.20
