  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
1998 001    2.13    3.96    2.80    2.49    3.20    0.20
1998 002    2.19    3.99    2.68    2.37    3.19    0.20
1998 003    2.06    4.00    2.57    2.29    3.15    0.20
1998 004    1.97    3.98    2.47    2.23    3.15    0.20
1998 005    1.91    3.95    2.38    2.19    3.16    0.20
1998 006    1.86    3.91    2.31    2.14    3.21    0.20
1998 007    1.74    3.86    2.24    2.12    3.23    0.20
1998 008    1.66    3.81    2.17    2.09    3.26    0.20
1998 009    1.60    3.75    2.10    2.15    3.29    0.23
1998 010    1.53    3.57    2.05    2.21    3.31    0.52
1998 011    1.47    3.45    2.01    2.25    3.33    0.64
1998 012    1.42    3.33    1.96    2.24    3.43    0.58
1998 013    1.38    3.21    1.92    2.22    3.52    0.51
1998 014    1.35    3.00    1.79    2.18    3.48    0.20
1998 015    1.33    2.84    1.70    2.16    3.52    0.20
1998 016    1.30    2.71    1.64    2.14    3.55    0.20
1998 017    1.27    2.56    1.56    2.09    3.50    0.20
1998 018    1.23    2.45    1.51    2.04    3.48    0.20
1998 019    1.25    2.36    1.47    2.00    3.37    0.20
1998 020    1.26    2.32    1.44    1.96    3.28    0.20
1998 021    1.21    2.27    1.45    1.94    3.16    0.20
1998 022    1.17    2.24    1.46    1.91    3.06    0.20
1998 023    1.14    2.27    1.46    1.90    2.95    0.20
1998 024    1.06    2.22    1.36    1.86    2.75    0.20
1998 025    1.00    2.21    1.29    1.83    2.54    0.20
1998 026    0.97    2.20    1.25    1.80    2.38    0.20
1998 027    0.97    2.19    1.23    1.77    2.31    0.20
1998 028    0.97    2.18    1.20    1.67    2.12    0.20
1998 029    1.00    2.17    1.32    1.63    2.07    0.20
1998 030    1.04    2.24    1.38    1.60    2.16    0.20
1998 031    1.05    2.26    1.15    1.48    2.18    0.20
1998 032    1.07    2.27    1.14    1.03    2.19    0.20
1998 033    1.17    2.25    1.12    0.89    2.17    0.20
1998 034    1.39    2.25    1.12    0.88    2.35    0.20
1998 035    1.43    2.20    1.13    0.92    2.40    0.20
1998 036    1.50    2.17    1.17    1.00    2.36    0.20
1998 037    1.50    2.17    1.22    1.28    2.35    0.20
1998 038    1.42    2.15    1.19    1.33    2.44    0.20
1998 039    1.28    2.14    1.14    1.28    2.39    0.20
1998 040    1.22    2.14    1.11    1.15    2.30    0.20
1998 041    1.21    2.15    1.12    1.04    2.09    0.20
1998 042    1.21    2.18    1.09    0.91    1.93    0.20
1998 043    1.20    2.21    1.06    0.82    1.82    0.20
1998 044    1.22    2.23    1.06    0.79    1.71    0.57
1998 045    1.22    2.25    1.05    0.77    1.62    0.60
1998 046    1.24    2.26    1.13    0.88    1.62    0.62
1998 047    1.21    2.26    1.15    1.00    1.79    0.64
1998 048    1.23    2.25    1.21    1.09    1.88    0.69
1998 049    1.24    2.23    1.23    1.29    1.94    0.72
1998 050    1.25    2.22    1.25    1.48    2.01    0.74
1998 051    1.28    2.20    1.38    1.65    2.09    0.76
