  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2010 001    2.53    3.12    2.69    2.44    3.76    0.22
2010 002    2.43    2.91    2.59    2.25    3.56    0.22
2010 003    2.32    2.83    2.52    2.10    3.41    0.22
2010 004    2.35    2.92    2.44    1.91    3.31    0.22
2010 005    2.24    2.41    1.97    0.80    2.44    0.22
2010 006    2.24    2.07    1.93    0.78    2.53    0.22
2010 007    2.21    2.08    1.85    0.66    2.47    0.22
2010 008    2.20    2.06    1.84    0.65    2.45    0.22
2010 009    2.81    3.00    2.58    1.11    2.95    0.22
2010 010    2.80    2.93    2.57    1.07    2.99    0.22
2010 011    2.79    3.01    2.56    1.04    3.08    0.22
2010 012    1.98    1.72    1.50    0.20    3.29    0.22
2010 013    1.96    1.94    1.49    0.49    3.37    0.22
2010 014    1.94    1.98    1.35    0.20    1.89    0.22
2010 015    1.93    1.95    1.33    0.20    1.89    0.21
2010 016    1.93    1.89    1.31    0.20    1.86    0.21
2010 017    1.94    1.84    1.29    0.20    1.84    0.21
2010 018    1.91    1.81    1.29    0.20    1.81    0.21
2010 019    1.70    1.88    1.10    0.20    2.04    0.21
2010 020    1.64    1.88    1.09    0.20    2.03    0.21
2010 021    1.42    1.54    1.28    0.20    1.97    0.21
2010 022    1.42    1.54    1.28    0.20    1.98    0.21
2010 023    1.42    1.53    1.29    0.20    1.95    0.21
2010 024    1.41    1.48    1.28    0.20    1.94    0.21
2010 025    1.40    1.44    1.27    0.20    1.89    0.21
2010 026    1.84    1.32    1.28    0.20    2.44    0.21
2010 027    1.77    1.28    1.26    0.20    2.34    0.21
2010 028    1.32    1.35    1.11    0.20    1.71    0.21
2010 029    1.28    1.32    1.07    0.20    1.65    0.21
2010 030    1.25    1.29    1.04    0.20    1.58    0.21
2010 031    1.20    1.29    1.00    0.20    1.53    0.21
2010 032    1.15    1.28    0.93    0.20    1.52    0.21
2010 033    1.06    1.10    0.84    0.20    1.45    0.21
2010 034    1.06    1.07    0.84    0.20    1.45    0.21
2010 035    1.06    1.14    0.87    0.20    1.24    0.21
2010 036    1.05    1.15    0.89    0.20    1.24    0.21
2010 037    1.05    1.15    0.90    0.20    1.23    0.21
2010 038    1.05    1.15    0.92    0.20    1.24    0.21
2010 039    1.00    1.13    0.91    0.20    1.24    0.21
2010 040    1.08    1.28    0.71    0.20    1.46    0.21
2010 041    1.06    1.26    0.69    0.20    1.45    0.21
2010 042    1.04    1.24    0.68    0.20    1.44    0.21
2010 043    1.02    1.23    0.66    0.20    1.45    0.21
2010 044    1.02    1.23    0.65    0.20    1.45    0.21
2010 045    1.03    1.24    0.64    0.20    1.45    0.21
2010 046    1.04    1.25    0.62    0.20    1.44    0.21
2010 047    1.01    1.20    0.63    0.20    1.54    0.21
2010 048    1.01    1.20    0.62    0.20    1.52    0.21
2010 049    1.02    1.16    0.60    0.20    1.22    0.21
2010 050    1.01    1.16    0.61    0.20    1.18    0.21
2010 051    0.97    1.17    0.61    0.20    1.14    0.21
