  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2004 107    1.92    3.73    2.36    4.28    3.04    6.52
2004 108    1.88    3.76    2.42    4.53    3.12    6.73
2004 109    1.88    3.60    2.41    4.92    3.12    7.10
2004 110    1.88    3.50    2.46    5.13    3.13    7.83
2004 111    1.86    3.41    2.44    5.11    3.26    8.29
2004 112    1.83    3.35    2.46    5.14    3.34    8.57
2004 113    1.86    3.67    2.64    5.44    3.47    8.86
2004 114    1.91    3.65    2.56    5.54    3.58    9.17
2004 115    2.05    3.66    2.51    5.58    3.67    9.35
2004 116    2.07    3.81    2.59    5.70    3.79    9.52
2004 117    2.09    4.05    2.75    5.99    3.89    9.74
2004 118    2.16    4.33    2.89    6.20    3.99    9.67
2004 119    2.27    4.67    3.05    6.34    4.22    9.55
2004 120    2.34    4.77    3.35    6.47    4.68    9.51
2004 121    2.32    4.63    3.37    6.62    4.73    9.50
2004 122    2.34    4.47    3.31    6.82    4.57    9.56
2004 123    2.37    4.39    3.32    7.08    4.53    9.66
2004 124    2.43    4.34    3.60    7.44    4.66    9.77
2004 125    2.39    4.29    3.56    7.65    4.78    9.79
2004 126    2.38    4.28    3.53    7.91    4.90   10.00
2004 127    2.50    4.42    3.62    8.20    5.15   10.19
2004 128    2.58    4.60    3.78    8.80    5.28   10.77
2004 129    2.69    4.85    4.02    9.54    5.50   11.54
2004 130    2.75    5.22    4.30   10.45    5.78   12.40
2004 131    2.78    5.59    4.47   11.30    6.27   13.03
2004 132    2.78    5.86    4.59   12.45    6.84   13.62
2004 133    2.87    6.09    4.89   13.63    7.52   14.14
2004 134    2.99    6.11    5.03   13.90    8.09   14.30
2004 135    3.12    6.10    5.06   13.53    8.25   14.50
2004 136    3.20    6.13    5.08   12.95    7.66   14.61
2004 137    3.18    6.18    5.17   12.62    7.21   14.82
2004 138    3.10    6.24    5.29   12.52    7.19   14.82
2004 139    3.05    6.22    5.24   12.64    7.38   14.88
2004 140    3.03    6.24    5.25   12.88    7.68   15.21
2004 141    3.16    6.39    5.35   13.11    7.85   15.33
2004 142    3.25    6.58    5.48   13.30    7.92   15.49
2004 143    3.26    6.72    5.66   13.52    8.18   15.78
2004 144    3.30    6.79    5.79   13.55    8.34   15.86
2004 145    3.41    6.93    5.96   13.54    8.36   15.92
2004 146    3.44    7.12    6.11   13.69    8.43   15.95
2004 147    3.45    7.30    6.17   13.90    8.45   16.03
2004 148    3.49    7.22    6.25   14.04    8.55   16.07
2004 149    3.51    7.04    6.33   14.15    8.54   15.88
2004 150    3.62    7.16    6.41   14.13    8.64   15.67
2004 151    3.81    7.42    6.63   14.23    8.83   15.63
2004 152    4.00    7.71    6.82   14.34    9.03   15.64
2004 153    4.16    7.91    7.02   14.40    9.23   15.64
2004 154    4.26    8.05    7.26   14.70    9.38   15.69
2004 155    4.33    8.17    7.44   14.92    9.44   15.79
2004 156    4.26    8.32    7.53   14.96    9.57   15.84
2004 157    4.21    8.62    7.72   15.10   10.06   15.96
2004 158    4.29    8.92    7.86   15.33   10.96   16.09
2004 159    4.37    9.03    8.03   15.68   11.91   16.24
2004 160    4.47    9.06    8.43   16.33   12.74   16.50
2004 161    4.53    9.10    8.82   17.01   13.45   16.72
2004 162    4.62    9.22    9.13   17.02   13.49   16.91
2004 163    4.73    9.41    9.35   16.85   13.29   17.15
2004 164    4.94    9.61    9.53   16.73   13.26   17.32
2004 165    5.14   10.43    9.78   16.81   13.38   17.54
2004 166    5.27   11.37   10.13   17.29   13.73   17.93
2004 167    5.31   11.65   10.32   17.74   13.98   18.10
2004 168    5.36   12.03   10.58   18.25   14.18   18.60
2004 169    5.36   12.10   10.64   18.59   14.30   18.91
2004 170    5.35   12.32   10.69   18.62   14.33   19.03
2004 171    5.23   12.46   10.69   18.46   14.21   18.99
2004 172    5.23   12.59   10.72   18.38   14.08   18.95
2004 173    5.34   12.65   10.86   18.37   14.14   19.01
2004 174    5.47   12.64   11.09   18.48   14.31   19.05
2004 175    5.50   12.56   11.09   18.61   14.46   19.10
2004 176    5.48   12.53   10.93   18.76   14.67   19.17
2004 177    5.50   12.58   10.90   18.62   14.69   19.13
2004 178    5.57   13.06   11.24   18.57   14.68   19.09
2004 179    5.65   13.41   11.47   18.69   14.85   19.16
2004 180    5.81   13.72   11.83   18.74   14.93   19.28
2004 181    6.08   14.11   12.27   18.77   15.09   19.34
2004 182    6.31   14.53   12.66   18.99   15.40   19.64
2004 183    6.42   14.85   12.94   19.46   15.82   19.97
2004 184    6.50   14.97   13.13   19.72   16.03   20.10
2004 185    6.68   15.06   13.40   19.88   16.32   20.25
2004 186    6.97   15.19   13.58   20.16   16.67   20.53
2004 187    7.30   15.33   13.70   20.50   16.84   20.82
2004 188    7.50   15.46   13.81   20.84   17.04   21.04
2004 189    7.80   15.54   14.14   20.94   17.24   21.04
2004 190    8.14   15.60   14.49   20.73   17.24   20.71
2004 191    8.53   15.77   14.85   20.67   17.30   20.55
2004 192    9.20   16.33   15.40   20.99   17.73   20.99
2004 193    9.73   17.04   16.05   21.41   18.31   21.52
2004 194   10.04   17.88   16.84   21.97   18.76   21.94
2004 195   10.03   17.99   17.21   22.38   19.12   22.06
2004 196    9.96   17.68   16.92   22.24   19.34   21.88
2004 197   10.07   17.66   16.51   21.81   19.39   21.68
2004 198   10.56   17.87   16.38   21.53   19.57   21.62
2004 199   10.94   18.05   16.75   21.63   19.83   21.84
2004 200   11.42   18.21   17.03   21.83   20.14   22.02
2004 201   12.30   18.73   17.38   21.96   20.36   22.23
2004 202   12.66   19.33   17.79   22.09   20.42   22.48
2004 203   12.54   19.61   18.06   22.22   20.60   22.66
2004 204   12.22   19.48   17.88   22.38   20.79   22.77
2004 205   12.10   19.30   17.54   22.40   20.77   22.79
2004 206   12.30   19.10   17.41   22.26   20.70   22.65
2004 207   12.67   19.04   17.48   22.21   20.64   22.50
2004 208   13.18   19.17   17.68   22.10   20.55   22.29
2004 209   13.63   19.45   18.01   21.88   20.54   22.00
2004 210   13.89   19.76   18.36   21.60   20.44   21.72
2004 211   14.05   19.85   18.52   21.64   20.44   21.82
2004 212   14.19   19.83   18.66   22.09   20.74   22.17
2004 213   14.54   19.87   18.78   22.37   20.96   22.44
2004 214   14.94   19.93   18.89   22.67   21.07   22.60
2004 215   15.23   20.05   19.05   22.87   21.28   22.61
2004 216   15.37   20.06   19.15   22.85   21.34   22.62
2004 217   15.38   19.89   19.14   22.52   21.21   22.35
2004 218   15.30   19.58   18.92   22.07   20.88   21.86
2004 219   15.37   19.41   18.66   21.76   20.61   21.46
2004 220   15.53   19.43   18.62   21.60   20.45   21.31
2004 221   15.53   19.38   18.73   21.65   20.36   21.60
2004 222   15.24   19.31   18.83   21.72   20.44   21.77
2004 223   14.70   19.18   18.79   21.69   20.52   21.64
2004 224   14.09   18.94   18.68   21.62   20.51   21.34
2004 225   13.74   18.68   18.54   21.51   20.49   21.05
2004 226   13.72   18.49   18.44   21.41   20.48   20.92
2004 227   13.77   18.42   18.38   21.29   20.51   20.78
2004 228   13.67   18.51   18.44   21.29   20.58   20.88
2004 229   13.37   18.56   18.53   21.41   20.69   20.91
2004 230   12.86   18.47   18.49   21.49   20.79   21.03
2004 231   12.10   18.38   18.36   21.51   20.84   21.13
2004 232   11.39   18.31   18.17   21.37   20.68   21.05
2004 233   11.12   18.23   17.91   21.13   20.44   20.76
2004 234   11.10   18.15   17.65   20.97   20.19   20.58
2004 235   11.11   18.11   17.56   20.93   20.09   20.54
2004 236   11.07   18.12   17.51   20.94   20.14   20.58
2004 237   11.22   18.19   17.50   20.96   20.15   20.70
2004 238   11.53   18.35   17.75   21.22   20.18   21.34
2004 239   11.88   18.52   18.03   21.57   20.38   22.18
2004 240   12.05   18.61   18.18   21.72   20.59   22.41
2004 241   11.97   18.47   18.10   21.78   20.65   22.14
2004 242   11.93   18.23   17.99   21.86   20.67   21.84
2004 243   12.05   18.17   17.97   21.88   20.66   21.69
2004 244   12.19   18.30   18.04   21.97   20.68   21.74
2004 245   12.62   18.62   18.16   22.16   20.70   21.90
2004 246   13.33   19.00   18.34   22.25   20.60   22.21
2004 247   13.92   19.30   18.60   22.33   20.63   22.47
2004 248   13.89   19.40   18.83   22.61   20.88   22.69
2004 249   13.37   19.31   18.87   22.70   20.97   22.75
2004 250   12.85   19.10   18.80   22.50   20.78   22.82
2004 251   12.60   18.94   18.71   22.24   20.49   22.66
2004 252   12.61   18.88   18.62   21.86   19.97   22.04
2004 253   12.64   18.80   18.50   21.42   19.32   21.39
2004 254   12.77   18.94   18.53   21.24   19.01   21.10
2004 255   12.79   19.08   18.59   21.34   19.05   21.17
2004 256   12.79   19.24   18.70   21.52   19.14   21.49
2004 257   12.81   19.35   18.76   21.66   19.18   21.65
2004 258   12.44   19.31   18.75   21.60   19.19   21.59
2004 259   11.86   19.19   18.77   21.49   19.39   21.49
2004 260   11.46   19.02   18.61   21.31   19.27   21.16
2004 261   11.38   18.92   18.32   20.85   18.85   20.32
2004 262   11.67   18.86   18.17   20.49   18.48   19.72
2004 263   11.96   18.79   18.18   20.32   18.30   19.46
2004 264   12.12   18.75   18.21   20.28   18.30   19.37
2004 265   12.22   18.67   18.25   20.34   18.44   19.49
2004 266   12.27   18.64   18.34   20.51   18.58   19.86
2004 267   12.24   18.68   18.41   20.60   18.72   19.94
2004 268   12.10   18.58   18.35   20.53   18.80   19.79
2004 269   12.05   18.41   18.19   20.30   18.81   19.42
2004 270   12.14   18.35   18.13   20.13   18.85   19.17
2004 271   12.18   18.30   18.08   20.01   18.79   19.06
2004 272   12.11   18.15   17.93   19.93   18.58   18.81
2004 273   12.08   17.93   17.71   19.78   18.31   18.32
2004 274   12.00   17.74   17.55   19.69   18.13   17.98
2004 275   11.77   17.43   17.34   19.54   17.99   17.66
2004 276   11.41   16.97   16.98   19.33   17.77   17.29
2004 277   11.16   16.61   16.58   19.15   17.52   16.86
2004 278   10.83   16.20   16.11   18.86   17.20   16.29
2004 279   10.56   15.82   15.51   18.45   16.74   15.75
2004 280   10.46   15.58   15.03   18.14   16.30   15.47
2004 281   10.39   15.51   14.83   17.94   16.00   15.39
2004 282   10.23   15.41   14.75   17.87   15.85   15.54
2004 283   10.09   15.29   14.51   17.75   15.54   15.67
2004 284   10.11   15.28   14.26   17.63   15.25   15.59
2004 285   10.12   15.20   14.03   17.51   15.05   15.43
2004 286   10.09   15.10   13.92   17.43   15.00   15.29
2004 287   10.04   15.02   13.87   17.42   14.96   15.28
2004 288    9.95   14.89   13.84   17.32   14.82   15.28
2004 289    9.81   14.62   13.73   17.24   14.54   15.18
2004 290    9.54   14.14   13.43   16.97   14.09   14.99
2004 291    9.22   13.69   13.08   16.52   13.50   14.79
2004 292    8.96   13.37   12.73   15.81   12.92   14.29
2004 293    8.77   13.07   12.50   15.30   12.87   13.74
2004 294    8.58   12.77   12.29   14.75   12.83   12.99
2004 295    8.47   12.63   12.03   14.37   12.63   12.54
2004 296    8.48   12.63   11.85   14.15   12.30   12.24
2004 297    8.48   12.64   11.73   14.09   11.93   12.30
2004 298    8.44   12.61   11.72   14.10   11.92   12.39
2004 299    8.44   12.68   11.73   14.11   11.96   12.53
2004 300    8.43   12.67   11.75   14.15   11.89   12.57
2004 301    8.42   12.52   11.74   14.16   11.82   12.58
2004 302    8.39   12.41   11.66   14.11   11.77   12.53
2004 303    8.36   12.33   11.64   14.09   11.75   12.62
