  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2001 001    0.98    1.14    0.62    0.20    1.34    0.20
2001 002    0.92    1.15    0.64    0.20    1.30    0.20
2001 003    0.87    1.17    0.65    0.20    1.24    0.20
2001 004    1.35    2.14    1.04    0.20    1.93    0.20
2001 005    0.63    1.38    0.53    0.20    0.20    0.20
2001 006    0.62    1.37    0.52    0.20    0.20    0.20
2001 007    0.64    1.36    0.52    0.20    0.20    0.20
2001 008    0.74    1.48    0.51    0.20    0.20    0.20
2001 009    0.81    1.46    0.62    0.20    0.20    0.20
2001 010    0.83    1.45    0.63    0.20    0.20    0.20
2001 011    1.87    2.25    1.07    0.20    1.94    0.20
2001 012    1.85    2.05    1.05    0.20    2.04    0.20
2001 013    1.85    1.98    1.04    0.20    2.08    0.20
2001 014    1.84    1.95    1.03    0.20    2.08    0.20
2001 015    1.84    1.93    1.04    0.20    2.06    0.20
2001 016    1.80    1.93    1.04    0.20    1.99    0.20
2001 017    1.77    1.91    1.04    0.20    1.97    0.20
2001 018    1.74    2.00    1.02    0.20    1.99    0.20
2001 019    1.70    1.99    1.02    0.20    1.80    0.20
2001 020    1.66    1.94    1.03    0.20    1.73    0.20
2001 021    1.62    1.91    1.04    0.20    1.69    0.20
2001 022    1.59    1.92    1.04    0.20    1.67    0.20
2001 023    1.57    1.89    1.01    0.20    1.66    0.20
2001 024    1.53    1.83    0.97    0.20    1.65    0.20
2001 025    1.50    1.85    0.95    0.20    1.63    0.20
2001 026    1.48    1.85    0.83    0.20    1.63    0.20
2001 027    1.49    1.90    0.79    0.20    1.62    0.20
2001 028    1.52    1.99    0.77    0.20    1.63    0.20
2001 029    1.53    2.04    0.76    0.20    1.64    0.20
2001 030    1.55    2.00    0.76    0.20    1.64    0.20
2001 031    1.56    1.96    0.78    0.20    1.65    0.20
2001 032    1.57    1.88    0.79    0.20    1.64    0.20
2001 033    1.56    1.73    0.80    0.20    1.65    0.20
2001 034    1.54    1.67    0.79    0.20    1.65    0.20
2001 035    1.53    1.64    0.78    0.20    1.65    0.20
2001 036    1.52    1.62    0.77    0.20    1.65    0.20
2001 037    1.44    1.57    0.78    0.20    1.68    0.20
2001 038    1.42    1.55    0.77    0.20    1.70    0.20
2001 039    1.40    1.54    0.75    0.20    1.71    0.20
2001 040    1.21    1.47    0.68    0.20    1.71    0.20
2001 041    1.07    1.40    0.64    0.20    1.50    0.20
2001 042    0.98    1.42    0.61    0.20    1.39    0.20
2001 043    0.93    1.48    0.60    0.20    1.36    0.20
2001 044    0.83    1.47    0.60    0.20    1.31    0.20
2001 045    0.77    1.45    0.60    0.20    1.29    0.20
2001 046    0.72    1.30    0.59    0.20    1.29    0.20
2001 047    0.66    1.18    0.53    0.20    1.26    0.20
2001 048    0.60    1.12    0.40    0.20    1.29    0.20
2001 049    0.55    1.13    0.40    0.20    1.30    0.20
2001 050    0.53    1.21    0.40    0.20    1.29    0.20
2001 051    0.53    1.19    0.39    0.20    1.31    0.20
