  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2011 001    3.04    2.95    2.14    0.76    2.49    0.23
2011 002    2.99    2.81    2.03    0.58    2.42    0.23
2011 003    3.48    3.71    2.95    1.35    3.96    0.23
2011 004    2.35    2.59    2.03    0.83    2.69    0.23
2011 005    3.48    3.56    2.84    1.25    3.95    0.23
2011 006    3.41    3.49    2.73    1.06    3.88    0.23
2011 007    3.39    3.42    2.63    0.91    3.80    0.23
2011 008    3.24    3.32    2.54    0.83    3.73    0.23
2011 009    3.13    3.17    2.36    0.60    3.73    0.23
2011 010    3.09    3.13    2.36    0.63    3.64    0.23
2011 011    3.04    3.05    2.31    0.64    3.66    0.23
2011 012    2.99    3.15    2.29    0.59    3.50    0.23
2011 013    3.02    2.97    2.31    0.58    3.44    0.23
2011 014    2.94    2.85    2.26    0.47    3.40    0.23
2011 015    2.84    2.80    2.16    0.20    2.98    0.23
2011 016    2.82    2.76    2.14    0.47    2.87    0.23
2011 017    2.77    2.66    2.02    0.20    2.97    0.23
2011 018    2.77    2.66    2.05    0.37    2.74    0.23
2011 019    2.79    2.60    2.06    0.37    2.85    0.23
2011 020    2.58    2.43    2.01    0.33    2.69    0.23
2011 021    2.35    2.36    1.71    0.36    2.59    0.23
2011 022    2.17    2.28    1.65    0.32    2.50    0.23
2011 023    1.88    2.26    1.37    0.26    2.43    0.23
2011 024    1.61    1.95    1.20    0.20    2.29    0.23
2011 025    1.56    1.89    0.93    0.20    2.18    0.23
2011 026    1.50    1.82    1.13    0.20    2.12    0.23
2011 027    1.59    1.91    1.10    0.20    2.17    0.23
2011 028    1.60    1.91    1.09    0.20    2.13    0.23
2011 029    1.55    1.85    0.99    0.20    2.10    0.23
2011 030    1.52    1.88    0.88    0.20    2.08    0.23
2011 031    1.50    1.80    0.85    0.20    2.09    0.23
2011 032    1.46    1.79    0.85    0.20    2.05    0.23
2011 033    1.36    1.81    0.75    0.20    1.92    0.23
2011 034    1.40    1.76    0.92    0.20    2.06    0.23
2011 035    1.41    1.76    0.93    0.20    2.04    0.20
2011 036    1.45    1.80    0.96    0.20    2.07    0.20
2011 037    1.47    1.73    0.94    0.20    2.09    0.20
2011 038    1.59    1.69    0.87    0.20    2.09    0.20
2011 039    1.57    1.63    0.83    0.20    2.02    0.20
2011 040    1.43    1.65    0.76    0.20    1.99    0.20
2011 041    1.45    1.57    0.76    0.20    1.89    0.20
2011 042    1.33    1.53    0.74    0.20    1.82    0.20
2011 043    1.35    1.59    0.65    0.20    1.78    0.20
2011 044    1.43    1.54    0.65    0.20    1.61    0.20
2011 045    1.54    1.82    0.80    0.20    1.85    0.20
2011 046    1.64    1.86    0.83    0.27    1.82    0.20
2011 047    1.63    1.91    0.83    0.30    1.79    0.20
2011 048    1.68    2.00    0.91    0.20    1.97    0.20
2011 049    1.65    2.06    0.95    0.20    2.29    0.20
2011 050    1.58    2.00    1.06    0.42    2.21    0.20
2011 051    1.50    1.91    1.03    0.44    2.03    0.20
