  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2000 001    3.23    4.68    3.39    3.11    4.56    0.20
2000 002    3.23    4.67    3.34    3.13    4.51    0.20
2000 003    3.15    4.59    3.29    3.07    4.46    0.20
2000 004    3.06    4.51    3.32    3.00    4.53    0.20
2000 005    2.97    4.38    3.21    2.89    4.36    0.20
2000 006    2.94    4.29    3.14    2.79    4.26    0.20
2000 007    2.90    4.17    3.11    2.70    4.19    0.20
2000 008    2.88    4.27    3.07    2.67    4.11    0.20
2000 009    2.87    4.25    3.05    2.43    4.07    0.20
2000 010    2.85    4.22    3.03    2.43    4.02    0.20
2000 011    2.85    4.13    3.00    2.43    4.04    0.20
2000 012    2.72    4.03    2.90    2.40    3.85    0.20
2000 013    2.63    3.96    2.79    2.31    3.66    0.20
2000 014    2.52    3.88    2.70    2.21    3.48    0.20
2000 015    2.36    3.80    2.43    2.10    3.25    0.20
2000 016    2.24    3.72    2.29    1.98    3.02    0.20
2000 017    2.15    3.64    2.23    1.90    2.83    0.20
2000 018    2.13    3.55    2.18    1.82    2.80    0.20
2000 019    2.08    3.28    1.81    1.49    2.45    0.20
2000 020    2.03    3.13    1.64    1.30    2.43    0.20
2000 021    1.97    2.98    1.54    1.17    2.42    0.20
2000 022    1.89    2.75    1.24    0.74    2.23    0.20
2000 023    1.82    2.62    1.18    0.58    2.14    0.20
2000 024    1.77    2.54    1.15    0.52    2.09    0.20
2000 025    1.75    2.53    1.19    0.49    2.11    0.20
2000 026    1.61    2.29    1.15    0.20    2.01    0.20
2000 027    1.60    2.29    1.12    0.20    1.99    0.20
2000 028    1.58    2.23    1.26    0.20    2.10    0.20
2000 029    1.52    2.13    1.07    0.20    2.14    0.20
2000 030    1.46    2.11    1.03    0.20    2.02    0.20
2000 031    1.48    2.09    1.00    0.20    1.96    0.20
2000 032    1.52    2.23    1.00    0.20    1.98    0.20
2000 033    1.53    2.25    1.02    0.20    1.91    0.20
2000 034    1.59    2.27    0.92    0.20    1.89    0.20
2000 035    1.65    2.31    0.99    0.20    2.00    0.20
2000 036    1.64    2.24    1.06    0.20    2.04    0.20
2000 037    1.55    2.20    1.11    0.20    2.09    0.20
2000 038    1.43    2.23    1.09    0.20    2.11    0.20
2000 039    1.38    2.40    1.08    0.20    2.06    0.20
2000 040    1.27    2.29    1.04    0.20    2.08    0.20
2000 041    1.17    2.19    0.99    0.20    2.01    0.20
2000 042    1.16    2.14    0.98    0.20    1.88    0.20
2000 043    1.09    2.18    0.92    0.20    1.76    0.20
2000 044    1.09    2.13    0.91    0.20    1.69    0.20
2000 045    1.06    2.08    0.91    0.20    1.70    0.20
2000 046    1.06    2.02    0.92    0.20    1.71    0.20
2000 047    1.07    1.96    0.92    0.20    1.71    0.20
2000 048    1.06    2.05    0.93    0.20    1.72    0.20
2000 049    1.08    2.05    0.97    0.20    1.68    0.20
2000 050    1.10    2.03    0.89    0.20    1.61    0.20
2000 051    1.16    2.03    0.88    0.20    1.56    0.20
