  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2012 001    3.57    4.79    4.05    4.61    5.44    3.04
2012 002    3.55    4.71    3.97    4.39    5.27    2.84
2012 003    3.52    4.61    3.88    4.17    5.08    2.57
2012 004    3.57    4.58    3.87    4.05    4.95    1.90
2012 005    3.58    4.55    3.80    4.03    4.83    1.75
2012 006    3.57    4.48    3.71    4.01    4.82    1.73
2012 007    3.48    4.44    3.61    3.96    4.88    1.72
2012 008    3.49    4.46    3.57    3.82    4.54    1.78
2012 009    3.55    4.54    3.84    3.88    4.84    2.39
2012 010    3.55    4.69    3.84    3.95    4.92    2.50
2012 011    3.51    4.71    3.85    3.98    4.91    2.54
2012 012    3.47    4.63    3.78    3.92    4.81    2.51
2012 013    3.43    4.51    3.66    3.77    4.59    2.46
2012 014    3.38    4.35    3.51    3.49    4.37    2.37
2012 015    3.29    4.19    3.42    3.23    4.25    2.20
2012 016    3.17    4.11    3.28    3.06    4.20    0.21
2012 017    3.13    4.10    3.31    3.14    4.18    1.17
2012 018    2.93    3.91    3.15    3.15    4.12    1.09
2012 019    2.87    3.82    3.03    3.08    4.03    0.79
2012 020    2.66    3.56    2.69    2.88    3.95    0.21
2012 021    2.62    3.38    2.57    2.39    3.92    0.20
2012 022    2.59    3.40    2.45    2.38    3.92    0.20
2012 023    2.60    3.50    2.58    2.45    3.97    0.20
2012 024    2.64    3.48    2.70    2.40    3.96    0.20
2012 025    2.59    3.48    2.69    2.30    3.95    0.20
2012 026    1.59    2.13    1.77    1.21    2.42    0.20
2012 027    2.66    3.57    2.73    2.15    3.81    0.20
2012 028    2.62    3.51    2.74    2.13    3.77    0.20
2012 029    2.55    3.41    2.66    2.12    3.66    0.20
2012 030    2.49    3.40    2.58    2.13    3.70    1.71
2012 031    2.51    3.49    2.53    2.07    3.69    1.01
2012 032    2.58    3.48    2.54    2.11    3.70    1.24
2012 033    2.60    3.39    2.55    2.23    3.70    1.66
2012 034    2.57    3.31    2.43    2.25    3.69    1.64
2012 035    2.57    3.32    2.43    2.30    3.71    1.70
2012 036    2.63    3.38    2.48    2.29    3.67    1.80
2012 037    2.64    3.44    2.50    2.36    3.74    2.09
2012 038    2.54    3.35    2.47    2.37    3.75    2.09
2012 039    2.49    3.21    2.44    2.23    3.71    1.80
2012 040    2.47    3.14    2.45    2.12    3.74    1.64
2012 041    2.43    3.13    2.42    2.06    3.74    1.60
2012 042    2.39    3.08    2.31    1.94    3.64    1.57
2012 043    2.37    3.01    2.23    1.77    3.62    0.83
2012 044    2.35    2.91    2.22    1.50    3.69    0.21
2012 045    2.36    2.99    2.28    1.46    3.67    0.21
2012 046    2.29    3.04    2.26    1.45    3.59    0.43
2012 047    2.23    3.03    2.17    1.58    3.54    0.41
2012 048    2.13    2.97    2.02    1.62    3.50    0.21
2012 049    2.07    2.93    1.96    1.64    3.43    0.21
2012 050    2.00    2.95    1.92    1.60    3.40    0.78
2012 051    1.91    2.94    1.94    1.52    3.36    0.21
