  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2005 001    2.74    3.63    2.97    2.51    4.03    0.20
2005 002    2.74    3.61    2.94    2.51    4.03    0.20
2005 003    2.73    3.61    3.14    2.71    4.02    0.20
2005 004    2.67    3.45    2.97    2.67    4.02    0.20
2005 005    2.66    3.39    2.96    2.61    3.98    0.20
2005 006    2.72    3.49    3.08    2.74    4.04    0.20
2005 007    2.68    3.25    2.80    2.60    3.86    0.20
2005 008    2.68    3.23    2.79    2.55    3.80    0.20
2005 009    2.67    3.20    2.77    2.50    3.69    0.20
2005 010    2.67    3.18    2.89    2.47    3.67    0.20
2005 011    2.48    2.81    2.63    2.38    3.45    0.20
2005 012    2.47    2.68    2.42    2.29    3.39    0.20
2005 013    2.44    2.79    2.63    2.29    3.41    0.20
2005 014    2.13    1.93    1.32    2.01    2.97    0.20
2005 015    2.10    1.93    1.23    1.96    2.96    0.20
2005 016    2.09    1.92    1.19    1.93    2.93    0.20
2005 017    2.03    1.90    1.12    1.89    2.85    0.20
2005 018    1.53    1.79    0.96    1.06    2.61    0.20
2005 019    1.46    1.75    0.93    1.02    2.49    0.20
2005 020    1.46    2.13    1.03    0.95    2.43    0.20
2005 021    1.18    1.83    0.79    0.20    1.41    0.20
2005 022    1.16    1.82    0.78    0.20    1.39    0.20
2005 023    1.16    1.81    0.78    0.20    1.37    0.20
2005 024    1.16    1.83    0.79    0.20    1.38    0.20
2005 025    1.17    1.64    0.68    0.20    0.97    0.20
2005 026    1.14    1.62    0.69    0.20    0.97    0.20
2005 027    1.24    1.63    0.73    0.20    1.17    0.20
2005 028    1.15    1.23    0.61    0.20    0.78    0.20
2005 029    1.20    1.25    0.61    0.20    0.77    0.20
2005 030    1.24    1.27    0.60    0.20    0.78    0.20
2005 031    1.33    1.30    0.67    0.20    1.07    0.20
2005 032    1.35    1.31    0.52    0.20    0.49    0.20
2005 033    1.38    1.31    0.52    0.20    0.49    0.20
2005 034    1.76    1.93    0.58    0.20    0.59    0.20
2005 035    1.75    1.97    0.59    0.20    0.60    0.20
2005 036    1.75    1.99    0.61    0.20    0.61    0.20
2005 037    1.74    1.99    0.60    0.20    0.60    0.20
2005 038    2.01    2.44    1.19    0.23    1.97    0.20
2005 039    1.90    2.31    0.89    0.20    1.90    0.20
2005 040    1.81    2.28    0.84    0.20    1.86    0.20
2005 041    1.77    2.33    0.91    0.20    2.01    0.20
2005 042    1.30    2.10    0.56    0.20    1.59    0.20
2005 043    1.30    2.13    0.58    0.20    1.60    0.20
2005 044    1.30    2.13    0.59    0.20    1.59    0.20
2005 045    1.29    2.10    0.59    0.20    1.60    0.20
2005 046    1.24    1.93    0.59    0.20    1.58    0.20
2005 047    1.18    1.89    0.58    0.20    1.55    0.20
2005 048    1.31    1.95    0.83    0.20    1.70    0.20
2005 049    0.92    1.88    0.70    0.20    1.50    0.20
2005 050    0.89    1.86    0.69    0.20    1.47    0.20
2005 051    0.88    1.86    0.68    0.20    1.45    0.20
