  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
1996 001    1.77    2.47    1.39    0.94    2.51    0.20
1996 002    1.66    2.11    1.32    0.89    2.44    0.20
1996 003    1.57    1.91    1.28    0.86    2.37    0.20
1996 004    1.52    1.86    1.16    0.49    2.24    0.20
1996 005    1.49    1.85    1.08    0.37    2.13    0.20
1996 006    1.38    1.76    0.76    0.22    1.72    0.20
1996 007    1.37    1.75    0.76    0.22    1.64    0.20
1996 008    1.30    1.69    0.74    0.22    1.52    0.20
1996 009    1.26    1.64    0.73    0.22    1.50    0.20
1996 010    1.23    1.60    0.72    0.22    1.49    0.20
1996 011    1.22    1.56    0.71    0.22    1.45    0.20
1996 012    1.20    1.49    0.70    0.21    1.39    0.20
1996 013    1.18    1.45    0.68    0.20    1.31    0.20
1996 014    1.15    1.45    0.62    0.20    1.18    0.20
1996 015    1.13    1.48    0.73    0.20    1.18    0.20
1996 016    1.12    1.51    0.73    0.20    1.39    0.20
1996 017    1.11    1.53    0.73    0.20    1.52    0.20
1996 018    1.09    1.52    0.72    0.20    1.80    0.20
1996 019    1.08    1.49    0.67    0.20    1.95    0.20
1996 020    1.02    1.38    0.62    0.20    1.96    0.20
1996 021    0.96    1.33    0.61    0.20    1.93    0.20
1996 022    0.92    1.30    0.60    0.20    1.91    0.20
1996 023    0.88    1.30    0.60    0.20    1.89    0.20
1996 024    0.85    1.32    0.59    0.20    1.86    0.20
1996 025    0.82    1.33    0.59    0.20    1.86    0.20
1996 026    0.79    1.32    0.57    0.20    1.86    0.20
1996 027    0.78    1.32    0.56    0.20    1.92    0.20
1996 028    0.77    1.26    0.56    0.20    2.00    0.20
1996 029    0.75    1.18    0.56    0.20    2.08    0.20
1996 030    0.74    1.09    0.57    0.20    2.07    0.20
1996 031    0.71    1.03    0.55    0.20    2.08    0.20
1996 032    0.69    0.91    0.54    0.20    2.02    0.20
1996 033    0.67    0.85    0.53    0.20    1.97    0.20
1996 034    0.31    0.47    0.33    0.20    1.58    0.20
1996 035    0.26    0.39    0.32    0.20    1.38    0.20
1996 036    0.26    0.37    0.32    0.20    1.26    0.20
1996 037    0.24    0.20    0.29    0.20    1.14    0.20
1996 038    0.24    0.20    0.28    0.20    1.05    0.20
1996 039    0.22    0.20    0.28    0.20    1.00    0.20
1996 040    0.22    0.20    0.28    0.20    0.95    0.20
1996 041    0.20    0.20    0.20    0.20    0.94    0.20
1996 042    0.20    0.20    0.20    0.20    0.93    0.20
1996 043    0.20    0.20    0.20    0.20    0.92    0.20
1996 044    0.20    0.20    0.20    0.20    0.92    0.20
1996 045    0.20    0.47    0.20    0.20    0.92    0.20
1996 046    0.21    0.46    0.20    0.20    0.69    0.20
1996 047    0.20    0.46    0.20    0.20    0.58    0.20
1996 048    0.20    0.45    0.20    0.20    0.56    0.20
1996 049    0.20    0.48    0.20    0.20    0.53    0.20
1996 050    0.20    0.48    0.20    0.20    0.51    0.20
1996 051    0.20    0.52    0.20    0.20    0.55    0.20
