  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2002 001    3.58    4.50    4.44    3.16    4.85    0.20
2002 002    3.64    4.45    4.40    2.94    4.85    0.20
2002 003    3.69    4.56    4.49    2.89    4.92    0.20
2002 004    3.62    4.65    4.34    2.70    4.85    0.20
2002 005    3.60    4.59    4.26    2.58    4.78    0.20
2002 006    3.53    4.54    4.11    2.48    4.71    0.20
2002 007    3.46    4.54    4.04    2.29    4.64    0.20
2002 008    3.33    4.40    3.83    2.10    4.69    0.20
2002 009    3.26    4.32    3.78    2.14    4.67    0.20
2002 010    3.15    4.31    3.72    2.32    4.59    0.20
2002 011    3.02    4.21    3.67    2.52    4.54    0.20
2002 012    2.92    4.52    3.59    2.54    4.49    0.20
2002 013    2.84    4.33    3.54    2.28    4.43    0.20
2002 014    2.81    4.19    3.60    2.20    4.46    0.20
2002 015    2.73    4.11    3.46    2.09    4.41    0.20
2002 016    2.68    4.06    3.36    1.99    4.37    0.20
2002 017    2.64    4.03    3.26    1.90    4.30    0.75
2002 018    2.56    3.94    3.14    1.76    4.18    0.20
2002 019    2.48    3.89    3.05    1.68    4.12    0.20
2002 020    2.39    3.91    2.96    1.59    4.08    0.20
2002 021    2.31    3.89    2.88    1.43    3.97    0.20
2002 022    2.21    3.77    2.74    1.30    3.92    0.20
2002 023    2.13    3.77    2.66    1.28    4.26    0.20
2002 024    2.06    3.82    2.68    1.36    4.16    0.57
2002 025    1.98    3.71    2.74    1.44    4.06    0.67
2002 026    1.92    3.71    2.78    1.58    3.91    0.76
2002 027    1.87    3.64    2.79    1.72    3.75    0.77
2002 028    1.89    3.64    2.80    1.76    3.72    0.74
2002 029    1.89    3.61    2.79    1.65    3.68    0.70
2002 030    1.88    3.59    2.76    1.55    3.69    0.65
2002 031    1.87    3.57    2.74    1.49    3.66    0.61
2002 032    1.85    3.51    2.62    1.44    3.61    0.20
2002 033    1.84    3.56    2.56    1.37    3.50    0.20
2002 034    1.83    3.49    2.51    1.31    3.47    0.20
2002 035    1.83    3.41    2.52    1.24    3.50    0.20
2002 036    2.57    3.40    2.72    1.17    3.47    0.20
2002 037    2.64    3.30    2.84    1.11    3.41    0.20
2002 038    2.54    3.36    2.73    1.11    3.26    0.23
2002 039    2.24    3.12    2.37    1.11    3.19    0.22
2002 040    2.17    2.92    2.25    1.18    3.06    0.21
2002 041    2.23    2.95    2.10    1.03    2.81    0.20
2002 042    2.34    2.98    1.98    0.90    2.64    0.19
2002 043    2.17    3.00    1.87    0.85    2.90    0.19
2002 044    2.08    3.01    1.79    0.80    2.82    0.18
2002 045    2.01    3.10    1.83    0.81    2.78    0.19
2002 046    1.94    3.17    1.78    0.79    2.86    0.20
2002 047    1.86    3.13    1.75    0.81    2.97    0.22
2002 048    1.76    2.95    1.73    0.83    3.10    0.23
2002 049    1.73    2.88    1.70    0.84    3.05    0.28
2002 050    1.70    2.86    1.65    0.84    3.00    0.30
2002 051    1.62    2.86    1.57    0.86    2.94    0.32
