# beats in 30 seconds,,,
first time,second time,sex (M/F),hr
28,26,m,54
38,34,f,72
45,38,f,83
44,32,f,76
39,37,f,76
33,36,f,69
44,44,f,88
44,36,f,80
46,39,f,85
35,32,f,67
37,35,f,72
33,26,f,59
32,30,m,62
33,31,m,64
34,35,m,69
40,33,f,73
41,40,m,81
36,37,m,73
44,43,f,87
45,38,m,83
33,35,m,68
35,37,m,72
40,42,f,82
32,31,f,63
53,45,m,98
34,35,f,69
32,33,m,65
40,33,f,73
40,35,f,75
37,41,m,78
38,36,m,74
36,37,m,73
