"price","nbath","nbed","sqft","city","pets"
940,1,1,845,"Columbia","yes"
832,2,2,1000,"Columbia","no"
1552,2,2,1059,"Charleston","no"
1505,2,2,1156,"Charleston","no"
1199,2,2,1040,"Charleston","yes"
1139,2,2,1025,"Charleston","no"
1385,2,2,1105,"Charleston","yes"
1243,1,1,865,"Charleston","no"
925,1,1,650,"Charleston","no"
873,1,1,505,"Charleston","yes"
882,1,1,750,"Charleston","no"
945,2,2,900,"Charleston","no"
999,1,1,684,"Charleston","no"
1324,2,2,1213,"Charleston","yes"
1074,1,1,625,"Charleston","no"
1084,1,2,850,"Charleston","no"
975,2,2,934,"Charleston","yes"
620,1,1,675,"Greenville","no"
1410,2,3,1509,"Greenville","no"
740,1,1,636,"Greenville","no"
1192,2,2,1069,"Greenville","no"
1304,1,1,751,"Greenville","no"
1405,1,1,759,"Charleston","no"
1180,3,3,1334,"Rock Hill","no"
965,1,1,703,"Rock Hill","no"
1670,1,1,807,"Charleston","no"
835,2,2,864,"Rock Hill","yes"
889,1,1,880,"Columbia","yes"
585,3,3,1509,"Columbia","no"
1040,1,1,699,"Columbia","no"
1089,1,1,880,"Columbia","yes"
730,1,1,780,"Greenville","no"
955,1,1,800,"Charleston","no"
905,1,1,750,"Charleston","no"
859,1,1,550,"Charleston","yes"
958,1,1,701,"Charleston","no"
1800,1,2,1000,"Charleston","no"
1800,1,2,800,"Charleston","yes"
2700,2,2,1264,"Charleston","no"
1020,1,1,794,"Greenville","yes"
840,1,1,825,"Columbia","yes"
1005,2,2,1125,"Greenville","no"
890,1,1,642,"Greenville","yes"
1058,2,2,1144,"Greenville","no"
725,1,1,636,"Greenville","no"
1125,1.5,2,900,"Greenville","no"
783,1,1,698,"Greenville","yes"
1075,2,2,1002,"Greenville","no"
820,1,1,742,"Greenville","no"
